,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
15,15,"Jaipur National University, Jaipur",Jaipur,Rajasthan,PGD in Advertising and Public Relations,1 year,Full time,,PG,0.3 lakhs,,The candidate should have passed Graduate in any stream from any recognized College or University.,"This course is intended for students interested in advertising and public relations, with or without academic or professional experience in the field. This degree prepares inexperienced students for a successful career in advertising and public relations and provides experienced students with the additional theory and application necessary to advance in their careers....See More"
16,16,"Jaipur National University, Jaipur",Jaipur,Rajasthan,PGD in Broadcast Journalism,1 year,Full time,,PG,0.81 lakhs,,The candidate should have passed Graduate in any stream from any recognized College or University.,"The PG Diploma in Broadcast Journalism (PGDBJ) programme offers a wide range of opportunities in the fields of electronic media. It is designed to meet the requirements of mass media industry covering areas such as reporting, anchoring, writing, editing, digital production, research and production."
17,17,"Chitkara University, Patiala",Jhansala,Punjab,BA Journalism and Mass Communication,3 years,Full time,,UG,3.65 lakhs,UGC,XII passed (Any stream) | Personal Interview,Bachelor of Arts Journalism is full time three year course and approved by UGC.
18,18,"Chitkara University, Patiala",Jhansala,Punjab,MA Journalism and Mass Communication,2 years,Full time,,PG,2.45 lakhs,UGC,The candidate should have passed in graduate degree,Master of Arts Journalism is full time two year course and approved by UGC.
19,19,"Guru Jambheshwar University of Science and Technology, Hisar",Hisar,Haryana,M.Sc Mass Communication,2 years,Full time,50.0,PG,0.39 lakhs,UGC,Graduate in any discipline with atleast 50% marks.,"This course is tailored to meet the growing demand of man power to man the fast expanding media. In the first year, the students are introduced to all the areas of Mass Communication. In the second year they are trained to specialize in Print Media, Electronic Media, Advertising Management, Public Relations and Corporate Communication, Social Marketing and Development...See More"
20,20,"Mizoram University, Aizawl",Aizawl,Mizoram,MJMC,2 years,Full time,30.0,PG,0.337 lakhs,UGC,Any Graduate from a recognized university with 50% marks (SC/ST/OBC 45%).,"Master of Journalism and Mass Communication two years (4 Semester) full-time postgraduate program in science stream offered by Mizoram University, Aizawl with the approval of UGC."
21,21,"Acharya Bangalore B-School, Bangalore",Bengaluru,Karnataka,BA Mass Communication,3 years,Full time,,UG,,,10+2 or equivalent in any discipline from any recognized Board / Council.,"BA Mass Communication(Journalism, Economics and Optional English) Affiliated to Bangalore University."
22,22,"Indira Gandhi National Open University, New Delhi",New Delhi,Delhi,PGD Journalism and Mass Communication,1 year,Distance,,PG,0.035 lakhs,UGC,"Graduation in any discipline and two-years experience in media/communication organizations in positions such as script writer, reporter, sub editor, photographer, technical Assistant, PRO etc.",PGD Journalism and Mass Communication is minimum 1 years and maximum 4 years duration course affiliated from Indira Gandhi National Open University.
23,23,"University of Lucknow, Lucknow",Lucknow,Uttar Pradesh,M.Sc Mass Communication in Science and Technology,2 years,Full time,40.0,PG,0.72 lakhs,UGC,"Bachelor's degree in any science subject including Engineering or Medicine (Minimum marks: General/OBC 45%, SC/ST 40%)","M.Sc Mass Communication in Science and Technology is a full-time two years duration course offered by University of Lucknow, Lucknow Approved by UGC."
24,24,"University of Lucknow, Lucknow",Lucknow,Uttar Pradesh,MA Journalism and Mass Communication,2 years,Full time,45.0,PG,1.2 lakhs,UGC,"Graduation from Recognized University. (Minimum marks: General/OBC 45%, SC/ST 40%)",Master of Arts in Journalism and Mass Communication is full time two year course approved by UGC.
25,25,"University of Lucknow, Lucknow",Lucknow,Uttar Pradesh,PG Diploma in Public Relations and Advertising,1 year,Full time,40.0,Diploma,0.16 lakhs,UGC,"Graduation from Recognized University. (Minimum marks: General/OBC 45%, SC/ST 40%)","PG Diploma in Public Relations and Advertising is a full-time one years duration course offered by University of Lucknow, Lucknow Approved by UGC."
26,26,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,BMC,1 year,Full time,,UG,,UGC,Any Degree Exam.,"Bachelor of Mass Communication is one year's (1 Semester) full-time undergraduate program offered by Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur and approved by UGC."
27,27,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,MMC,2 years,Full time,,PG,,UGC,The candidate should have passed any graduate degree.,Master of Mass Communication is a full-time two-year course approved by UGC.
28,28,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,PG Diploma in Video Programming,1 year,Full time,,Diploma,,UGC,Any Graduate,"PG Diploma in Video Programming is one year's full-time program offered Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur with the approval of UGC."
29,29,"University of Madras, Chennai",Chennai,Tamil Nadu,M.Phil Communication,1 year,Full time,,PG,0.043 lakhs,UGC,"Masters degree in Journalism, Communication, On-line Media, Visual Communication and Electronic Media in regular mode","Master of Philosophy in Historical Studies is a full-time one year course degree offered by University of Madras, Chennai and approved by UGC."
30,30,"University of Madras, Chennai",Chennai,Tamil Nadu,M.Sc Online Media Self Supportive,2 years,Full time,,PG,,UGC,The candidate should have passed in the graduate degree.,Master of Science in Online Media is the full-time two-year course approved by UGC.
31,31,"University of Madras, Chennai",Chennai,Tamil Nadu,MA Journalism and Communication,2 years,Full time,,PG,,UGC,The candidate should have passed in the graduate degree.,Master of Arts in Journalism and Communication is the full-time two-year course approved by UGC.
32,32,"Pondicherry University, Puducherry",Kalapet,Puducherry,M.Sc Electronic Media,2 years,Full time,46.0,PG,0.3 lakhs,UGC,Bachelor’s degree with 55% of marks in Electronic Media/ Journalism / Visual Communication/Visual Arts/ Performing Arts/Sciences OR Bachelor’s Degree in any discipline with a minimum of 55% of marks with one year Diploma in Computer Applications,"M.Sc Electronic Media is a full-time two years duration course offered by Pondicherry University, Puducherry Approved by UGC."
33,33,"Pondicherry University, Puducherry",Kalapet,Puducherry,MA Mass Communication,2 years,Full time,46.0,PG,0.34 lakhs,UGC,The candidate should be a Graduate from a recognized University with relevant subjects.,"MA Mass Communication is a full-time two years duration course offered by Pondicherry University, Puducherry Approved by UGC."
34,34,"Babu Banarasi Das University, Lucknow",Lucknow,Uttar Pradesh,BJMC,3 years,Full time,,UG,2.4 lakhs,UGC,A minimum aggregate of 50% or equivalent in 10+2. Relaxation in qualification and reservation is as per UGC and State Govt. norms.,"B.A. (Journalism & Mass Communications) three years (6 Semester) full-time undergraduate program offered by Babu Banarasi Das University, Lucknow with the approval of UGC."
35,35,"Babu Banarasi Das University, Lucknow",Lucknow,Uttar Pradesh,MJMC,2 years,Full time,,PG,1.8 lakhs,UGC,A Minimum aggregate of 50% in graduation or equivalent CGPA/OGPA. Relaxation in qualification shall be as per UGC/State Govt. norms.,"M.A.(Journalism & Mass Communication) two years (4 Semester) full-time postgraduate program offered by Babu Banarasi Das University, Lucknow with the approval of UGC."
36,36,"Babu Banarasi Das University, Lucknow",Lucknow,Uttar Pradesh,PGD in Journalism and Mass Communication,1 year,Full time,,PG,0.8 lakhs,UGC,A Minimum aggregate of 50% in graduation or equivalent from a recognized university. Relaxation in qualification and reservation is as per UGC and State Govt. norms.,"Post Graduate Diploma in Journalism & Mass Communication is one-year full-time program offered by Babu Banarasi Das University, Lucknow"
37,37,"Lady Shriram College for Women, New Delhi",New Delhi,Delhi,BA Journalism Hons,3 years,Full time,,UG,0.081 lakhs,UGC,The candidate should have passed in 10+2 with the relevant subject.,Bachelor of Arts in Journalism is a full time three year and approved by UGC.
38,38,"Doon Business School, Dehradun",Selakui,Uttarakhand,BA Journalism Hons,3 years,Full time,,UG,2.32 lakhs,UGC,All students must have passed 10+2 examination with English as one of the subjects with a bare minimum of 45% marks to become eligible for the course.,BA (Hons.) Journalism Program is a three year graduate program. The program is affiliated to HNB Garhwal Central University. The program offers students an interdisciplinary foundation in the basic theory and skills necessary to become media practitioners of different areas. Graduates of this program are open to a myriad career options – Print and Television Journal...See More
39,39,"Doon Business School, Dehradun",Selakui,Uttarakhand,MA Mass Communication,2 years,Full time,,PG,1.86 lakhs,UGC,All students must have passed 10+2 examination with English as one of the subjects with a bare minimum of 50% marks (Minimum Requirement as laid down by the University). However the admission to DBS B. Com program is done on the combined merit of academic records and Interview,"M.A. in mass communication is a full time 4 semester program spread over two years. It is an amalgamation of theoretical learning with practical experience in media. The program prepares students for the media world with the focus on academics and as well as various techniques of Production, like Direction, news writing, scripting, camera handling, lighting and linear...See More"
40,40,"Jain University, Bangalore",Jakkasandra,Karnataka,BA Journalism and Mass Communication,3 years,Full time,,UG,,UGC,The minimum qualification required to apply is a pass in the 10+2 examination in Science/ Commerce/ Arts from PUC / ISC / CBSE or equivalent board.,Bachelor of Arts in Journalism and Mass Communication is full time three year course approved by UGC.
41,41,"Jain University, Bangalore",Jakkasandra,Karnataka,"BA Journalism, English, Psychology",3 years,Full time,,UG,,UGC,10+2 in Science/Commerce/Arts from PUC/ISC/CBSE or equivalent,
42,42,"Jain University, Bangalore",Jakkasandra,Karnataka,MA Journalism and Mass Communication,2 years,Full time,,PG,,UGC,Bachelor's degree in any discipline with a minimum aggregate of 50%.,Master of Arts in Journalism and Mass Communication is full time two year course approved by UGC.
43,43,"Jain University, Bangalore",Jakkasandra,Karnataka,MS Mass Communication,2 years,Full time,,PG,,UGC,The minimum qualification required to apply is a bachelor’s degree in respective discipline from a recognized University,
44,44,"KR Mangalam University, Gurgaon",Sohna,Haryana,BJMC,3 years,Full time,,UG,,UGC,The candidate should have passed the 10+2 or its equivalent examination from a recognized Board/ University with a minimum of 50% marks in aggregate.,"The main objective of the course is to make the participant understand the ways through which one can communicate his ideas among masses. The course includes external projects by which the students get the exposure to various professiona Idomains such as news dailies, radio, television, jou rnaIs etc.functionaIareas of Public Relations, Advertisements & Communications...See More"
45,45,"KR Mangalam University, Gurgaon",Sohna,Haryana,BMM,3 years,Full time,,UG,,UGC,The candidate should have passed the 10+2 or its equivalent examination from a recognized Board/ University with a minimum of 50% marks in aggregate.,"The course is prepared to keep in view the demand of our present generation to get them to find a suitable place in the world of Media. This degree programme prepares the students in carving a career in various sectors of the media. Mass media refers collectively to all media technologies, including the Internet, television, newspapers and radio, which are used for ma...See More"
46,46,"KR Mangalam University, Gurgaon",Sohna,Haryana,MJMC,2 years,Full time,,PG,,UGC,The candidate should have passed Bachelor's Degree or its equivalent in any discipline with minimum 50% marks in aggregate.,"MJMC is a two- year Post Graduate programme providing professional education to those who wish to become journalists and managers/managerial executives in mass media. A thorough grounding will be provided in communication, journalism theories and mass media research. The syllabus is designed insuch a way that the latest developments in the ever changing media sector c...See More"
47,47,"Mahatma Jyotiba Phule Rohilkhand University, Bareilly",Bareilly,Uttar Pradesh,PGD in Mass Communication and Electronic Journalism,1 year,Full time,,Diploma,,,The candidate should have passed in the graduate degree.,Post Graduate Diploma in Mass Communication and Electronic Journalism is full-time one-year course approved by UGC.
48,48,"Gujarat University, Ahmedabad",Ahmedabad,Gujarat,Bachelor of Communication Journalism and Public Relations,3 years,Full time,,UG,,UGC,The candidate should have passed in graduate degree.,Bachelor of Communication-Journalism and Public Relations is full-time three-year course approved by UGC.
49,49,"Gujarat University, Ahmedabad",Ahmedabad,Gujarat,Master of Journalism Studies,2 years,Full time,,PG,,UGC,The candidate should have passed in graduate degree.,Master of Journalism is full time two year course approved by UGC.
50,50,"Loyola College, Chennai",Chennai,Tamil Nadu,B.Voc Digital Journalism,3 years,Full time,,UG,,UGC,The candidate should have passed in the graduate degree.,Bachelor of Vocational in Digital Journalism is the full-time three-year course approved by UGC.
51,51,"Jiwaji University, Gwalior",Gwalior,Madhya Pradesh,Bachelor of Journalism Distance,1 year,Full time,,UG,0.1 lakhs,UGC,The candidate should have passed 10+2 with any stream from any recognized College or University.,"Bachelor of Journalism is one year's Distance program offered by Jiwaji University, Gwalior"
52,52,"Jiwaji University, Gwalior",Gwalior,Madhya Pradesh,MJMC,2 years,Full time,30.0,PG,0.54 lakhs,UGC,The candidate should have passed Graduation with 50% marks.,"Master in Journalism and Mass Communication (MJMC) (Two year / Four semesters) full-time postgraduate program in science stream offered by Jiwaji University, Gwalior with the approval of UGC Available Seats : Open - 25 Payment - 05"
53,53,"Jiwaji University, Gwalior",Gwalior,Madhya Pradesh,Master of Journalism Distance,1 year,Distance,,PG,0.1 lakhs,,The candidate should have passed BJ degree.,"Master of Journalism is one year's (2 Semester) postgraduate program in distance mode. its offered by Jiwaji University, Gwalior with the approval of UGC."
54,54,"PDM University, Bahadurgarh",Bahadurgarh,Haryana,BA Journalism and Mass Communication Hons,3 years,Full time,60.0,UG,1.57 lakhs,UGC,The candidate should have passed 10+2 from a recognized Board of School Education or an examination recognized as equivalent thereto with a minimum of 50% marks in aggregate,Bachelor of Arts in Journalism and Mass Communication a three years full-time undergraduate Honors program offered by PDM University and approved by UGC
55,55,"PDM University, Bahadurgarh",Bahadurgarh,Haryana,MA Journalism and Mass Communication,2 years,Full time,40.0,PG,1.17 lakhs,UGC,Bachelor degree from a recognized University or an examination recognized as equivalent thereto with a minimum of 55% marks in aggregate.,"Master of Arts in Journalism and Mass Communication is two years (4 Semesters )full-time postgraduate programme offered by PDM University, Bahadurgarh and approved by UGC"
56,56,"St Xaviers College, Mumbai",Mumbai,Maharashtra,Bachelor of Mass Media,3 years,Full time,60.0,UG,0.29 lakhs,UGC,The candidate should have passed in 10+2 any stream,"This is a course introduced from the academic year 2000-2001, by the University of Mumbai. It has been designed to provide students with a firm grounding in communication skills, develop the ability for critical thinking and creativity and learn to combine theory with practical applications, through detailed research, lucid writing skills, oral presentation skills an...See More"
0,0,"International Institute of Mass Media, New Delhi",New Delhi,Delhi,Bachelor of Mass Communication,3 years,Full time,,UG,2.3 lakhs,,"Senior Secondary School Certificate 10+2/ Intermediate or its equivalent from a recognised board.
Medium of Instruction and Examination : Hindi or English","Bachelor of Mass Communication is 3 year full time UG level coursewith approved study centre of Guru Jambheshwar University of Science and Technology, Hisar"
1,1,"International Institute of Mass Media, New Delhi",New Delhi,Delhi,MA Mass Communication,2 years,Full time,,PG,1.65 lakhs,UGC,"Bachelor degree in any discipline from a recognized University (Students appearing in final year examination May also apply)
Medium of Instruction and Examination : Hindi or English","MA Mass Communication is 2 year full time PG level course with approved study centre of Guru Jambheshwar University of Science and Technology, Hisar"
2,2,"International Institute of Mass Media, New Delhi",New Delhi,Delhi,"Post Graduate Diploma in Advertising, Public Relations and Marketing",1 year,Full time,,Diploma,0.95 lakhs,,"Bachelor degree in any discipline from a recognized University (Students appearing in final year examination May also apply)
Medium of Instruction and Examination: Hindi or English","It is 1 year full time course with approved study centre of Guru Jambheshwar University of Science and Technology, Hisar"
3,3,"International Institute of Mass Media, New Delhi",New Delhi,Delhi,Post Graduate Diploma in Broadcast TV and Radio Journalism,1 year,Full time,,Diploma,1.55 lakhs,,"Bachelor degree in any discipline from a recognized University (Students appearing in final year examination May also apply)
Medium of Instruction and Examination: Hindi or English","Post Graduate Diploma in Broadcast (TV and Radio) Journalism is 1 year full time course with approved study centre of Guru Jambheshwar University of Science and Technology, Hisar and Recognized"
4,4,"Yashwantrao Chavan College of Arts Commerce and Science, Navi Mumbai",Navi Mumbai,Maharashtra,Bachelor of Mass Media,3 years,Full time,60.0,UG,,,Minimum 40 % at the XII std examination conducted by Maharashtra Board of higher secondary education or any other examination recognized as equivalent.,Bachelor of Mass Media is an integrated three year full time course and conducted in six semesters.
5,5,"ISBM University, Gariyaband",Chhura,Chhattisgarh,BA Journalism and Mass Communication,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream,BA Journalism and Mass Communication is a three year full time course
6,6,"ISBM University, Gariyaband",Chhura,Chhattisgarh,MA Journalism and Mass Communication,2 years,Full time,,PG,,,The candidate should have passed in related graduate degree,MA Journalism and Mass Communication is a two year full time course
7,7,"Polytechnic for Women, New Delhi",New Delhi,Delhi,B.Sc Mass Communication Advertising and Journalism,3 years,Full time,,UG,1.71 lakhs,,The Candidate should have passed 10+2 in relevant stream or equivalent from recognized board.,B.Sc Mass Communication Advertising and Journalism is three-year duration full time course. The institute awards its own certificates & diplomas for courses which are not affiliated to other Academic institutions.
8,8,"Polytechnic for Women, New Delhi",New Delhi,Delhi,Diploma in Journalism and Mass Communication,3 years,Full time,,Diploma,,,"The candidate should have 10th / 10+2 / Graduation, passed or appeared.","Diploma in Journalism and Mass Communication is three-year duration full-time course. This course is designed for anyone who wants to work in the media/cultural industries. The course emphasizes production, theory & professional studies. The program covers Print, Interactive & Broadcast Media, dealing with all the five aspects of Mass Communication, namely (a) Newspap...See More"
9,9,"Polytechnic for Women, New Delhi",New Delhi,Delhi,Diploma in Marketing Advertising and Public Relations,2 years,Full time,,Diploma,,,"The candidate should have 10th / 10+2 / Graduation, passed or appeared.","Diploma in Marketing Advertising and Public Relations is two-year duration full-time course. This course will instill in the students, the correct skills to acquire strategies & tactics to plan, deliver, manage and evaluate marketing, advertising & P.R. campaigns."
10,10,"Polytechnic for Women, New Delhi",New Delhi,Delhi,M.Sc Mass Communication Advertising and Journalism,2 years,Full time,,PG,,,The candidate should have Graduation degree in relevant subject from any recognized University.,M.Sc Mass Communication Advertising and Journalism is two-year duration full time course. The institute awards its own certificates & diplomas for courses which are not affiliated to other Academic institutions.
11,11,"Royal Global University, Guwahati",Guwahati,Assam,BA Journalism and Mass Communication,2 years,Full time,,UG,3.41 lakhs,,The candidate should have passed in 10+2 or equivalent from a recognized Board/ University.,"BA Journalism and Mass Communication is a three year full time course offer by Royal Global University, Guwahati"
12,12,"Royal Global University, Guwahati",Guwahati,Assam,MA Journalism and Mass Communication,2 years,Full time,,PG,2.12 lakhs,,"A Bachelor’s Degree in relevant field from any recognized University/institution. Or A Bachelor’s Degree in any field with 1year diploma in relevant field, from any recognized University/institution","MA Journalism and Mass Communication is a two year full time course offer by Royal Global University, Guwahati"
13,13,"National Institute of Social Work and Social Sciences, Bhubaneswar",Bhubaneswar,Odisha,MJMC,2 years,Full time,30.0,PG,,,The candidate should have Graduation degree in relevant subject from any recognized University.,"Master of Journalism and Mass Communication (MJMC) is a two years full time semester basis PG Professional Course which is affiliated to Utkal University, Odisha."
14,14,"Uttranchal Institute of Hospitality Management and Tourism, Dehradun",Dehradun,Uttarakhand,MA Journalism and Mass Communication,2 years,Distance,,PG,,Ministry Of Health and Family Welfare Government Of Uttarakhand,The candidate should have passed Graduation in any stream.,"Master Of Arts In Journalism and Mass Communication (MAJMC) is two-year duration course affiliated to Uttarakhand Open University, Haldwani."
15,15,"Uttranchal Institute of Hospitality Management and Tourism, Dehradun",Dehradun,Uttarakhand,Post Graduate Diploma In Journalism and Mass Communication,1 year,Distance,,Diploma,,Ministry Of Health and Family Welfare Government Of Uttarakhand,The candidate should have passed Graduation in any stream.,"Post Graduate Diploma In Journalism and Mass Communication (PGDJMC) is one-year duration course affiliated to Uttarakhand Open University, Haldwani."
16,16,"Kanya Maha Vidyalaya, Jalandhar",Jalandhar,Punjab,BA Journalism and Mass Communication,3 years,Full time,,UG,,UGC,The candidate should be an Intermediate(10+2) or equivalent examination from a recognized University.,"Bachelor of Arts in Journalism and Mass Communication is 3-years full-time course affiliated to Guru Nanak Dev University, Amritsar and approved by University Grants Commission."
17,17,"Kanya Maha Vidyalaya, Jalandhar",Jalandhar,Punjab,Diploma in Hindi Journalism,1 year,Full time,,Diploma,,UGC,The candidate should have Graduation degree from any recognized University.,"Diploma in Hindi Journalism is 1-year full-time course affiliated to Guru Nanak Dev University, Amritsar."
18,18,"Roots An International School of Business and Management, Hyderabad",Hyderabad,Telangana,BA Mass Communication,3 years,Full time,,UG,,,"Intermediate (CEC/MEC) from Board of Intermediate Education, AP",BA Mass Communication is a three year full time course
19,19,"Roots An International School of Business and Management, Hyderabad",Hyderabad,Telangana,BA Mass Communication Integrated,5 years,Full time,,UG,,,"Intermediate (CEC/MEC) from Board of Intermediate Education, AP","In the first 2 years, students pursue Intermediate in MEC/CEC from Board of Intermediate Education, A.P, and Higher National Diploma Level 3 from Edexcel UK, In the remaining 3 years, they pursue B.A. Mass Com from Osmania University, Hyderabad and Higher National Diploma Level 4 from Edexcel UK."
20,20,"St Soldier Management and Technical Institute, Jalandhar",Jalandhar,Punjab,BA Journalism and Mass Communication,3 years,Full time,30.0,UG,,,Candidate must have passed 10+2 from recognized board,BA Journalism and Mass Communication is full time three year undergraduate degree course
21,21,"St Soldier Management and Technical Institute, Jalandhar",Jalandhar,Punjab,BMS Media Entertainment and Film Technology,3 years,Full time,60.0,UG,,,Candidate must have passed 10+2 from recognized board,Bachelor of Management Studies - Media Entertainment and Film Technology is full time three year undergraduate degree course
22,22,"Manorama School of Communication, Kottayam",Kottayam,Kerala,PGD Broadcast Journalism,1 year,Full time,,Diploma,,,The candidate should have passed in graduate degree.,"MASCOM's broadcast journalism course helps students to master the concepts using the currently used technologies in the electronic media.
A good understanding of camera, video editing and writing scripts is a must for electronic news gathering. Students will be trained to use computers to not only write scripts in English or Malayalam but also to use non-linear ed...See More"
23,23,"Manorama School of Communication, Kottayam",Kottayam,Kerala,PGD Journalism,1 year,Full time,,Diploma,,,Applicants to the course must have a Bachelor’s Degree in any discipline from a recognised university.,"During the first and second trimesters, the students will receive computer and speedwriting training in 30-minute sessions on alternating days. Computer training emphasises touch-typing, page-making, Photoshop and other software applications that are important to journalism and desktop publishing. Speedwriting improves the student's ability to take notes quickly and a...See More"
24,24,,,,,,,,,,,,
